CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existenteQuantidade SUSQuantidade Não SUS por Município
Leitos complementares: UTI adulto II COVID-19, UTI pediátrica II COVID-19
Período:Jul/2020
"Município";"Quantidade_existente";"Quantidade_SUS";"Quantidade_Não_SUS"
"110002 Ariquemes";18;6;12
"110004 Cacoal";16;-;16
"110011 Jaru";5;5;-
"110012 Ji-Paraná";10;-;10
"110015 Ouro Preto do Oeste";7;-;7
"110020 Porto Velho";99;37;62
"110030 Vilhena";10;-;10
"120010 Brasiléia";14;-;14
"120020 Cruzeiro do Sul";20;10;10
"120040 Rio Branco";40;20;20
"130002 Alvarães";12;-;12
"130070 Boca do Acre";6;-;6
"130080 Borba";12;-;12
"130100 Carauari";4;-;4
"130120 Coari";5;-;5
"130230 Jutaí";3;-;3
"130240 Lábrea";4;-;4
"130250 Manacapuru";3;-;3
"130260 Manaus";204;122;82
"130330 Novo Aripuanã";4;-;4
"140010 Boa Vista";35;15;20
"140047 Rorainópolis";5;-;5
"150010 Abaetetuba";5;-;5
"150060 Altamira";10;10;-
"150080 Ananindeua";36;15;21
"150130 Barcarena";2;-;2
"150140 Belém";228;182;46
"150170 Bragança";30;30;-
"150180 Breves";24;-;24
"150220 Capanema";43;10;33
"150240 Castanhal";6;6;-
"150270 Conceição do Araguaia";12;-;12
"150293 Dom Eliseu";2;-;2
"150360 Itaituba";10;-;10
"150420 Marabá";50;10;40
"150553 Parauapebas";11;-;11
"150680 Santarém";54;34;20
"150812 Ulianópolis";7;7;-
"160027 Laranjal do Jari";5;-;5
"160030 Macapá";71;-;71
"160060 Santana";21;-;21
"170210 Araguaína";47;26;21
"170950 Gurupi";1;-;1
"172100 Palmas";57;22;35
"210005 Açailândia";10;10;-
"210120 Bacabal";17;-;17
"210140 Balsas";12;-;12
"210160 Barra do Corda";9;9;-
"210170 Barreirinhas";10;-;10
"210300 Caxias";38;20;18
"210320 Chapadinha";12;-;12
"210330 Codó";10;-;10
"210350 Colinas";4;-;4
"210360 Coroatá";12;-;12
"210408 Fernando Falcão";2;-;2
"210480 Grajaú";10;-;10
"210530 Imperatriz";49;-;49
"210540 Itapecuru Mirim";5;-;5
"210547 Jenipapo dos Vieiras";3;-;3
"210570 Lago da Pedra";5;-;5
"210660 Matões";5;-;5
"210720 Nina Rodrigues";1;-;1
"210845 Peritoró";10;10;-
"210860 Pinheiro";11;-;11
"210910 Presidente Dutra";16;-;16
"210990 Santa Inês";22;-;22
