CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existenteQuantidade SUSQuantidade Não SUS por Município
Leitos complementares: UTI adulto II COVID-19, UTI pediátrica II COVID-19
Período:Mai/2020
"Município";"Quantidade_existente";"Quantidade_SUS";"Quantidade_Não_SUS"
"110002 Ariquemes";6;6;-
"110004 Cacoal";16;-;16
"110011 Jaru";5;-;5
"110015 Ouro Preto do Oeste";6;-;6
"110020 Porto Velho";70;29;41
"110030 Vilhena";10;10;-
"120010 Brasiléia";14;-;14
"120020 Cruzeiro do Sul";10;-;10
"120040 Rio Branco";30;10;20
"130080 Borba";12;-;12
"130240 Lábrea";4;-;4
"130250 Manacapuru";3;-;3
"130260 Manaus";262;194;68
"140010 Boa Vista";30;-;30
"150060 Altamira";10;10;-
"150080 Ananindeua";36;27;9
"150130 Barcarena";2;-;2
"150140 Belém";305;182;123
"150170 Bragança";30;30;-
"150180 Breves";23;-;23
"150220 Capanema";40;-;40
"150270 Conceição do Araguaia";12;-;12
"150293 Dom Eliseu";2;-;2
"150360 Itaituba";10;-;10
"150420 Marabá";50;10;40
"150553 Parauapebas";11;-;11
"150680 Santarém";54;34;20
"150812 Ulianópolis";7;7;-
"160027 Laranjal do Jari";5;-;5
"160030 Macapá";37;32;5
"160060 Santana";1;-;1
"170210 Araguaína";24;20;4
"170950 Gurupi";1;-;1
"172100 Palmas";22;22;-
"210005 Açailândia";17;10;7
"210120 Bacabal";6;-;6
"210160 Barra do Corda";9;9;-
"210300 Caxias";15;10;5
"210330 Codó";10;-;10
"210350 Colinas";4;-;4
"210360 Coroatá";14;10;4
"210408 Fernando Falcão";2;-;2
"210480 Grajaú";10;-;10
"210530 Imperatriz";49;10;39
"210547 Jenipapo dos Vieiras";2;-;2
"210660 Matões";5;-;5
"210720 Nina Rodrigues";1;-;1
"210845 Peritoró";10;10;-
"210860 Pinheiro";7;-;7
"210910 Presidente Dutra";10;10;-
"210990 Santa Inês";4;-;4
"211130 São Luís";183;133;50
"211210 Timbiras";6;-;6
"211220 Timon";10;10;-
"220390 Floriano";10;-;10
"220700 Oeiras";10;10;-
"220770 Parnaíba";25;-;25
"220800 Picos";10;10;-
"220840 Piripiri";10;10;-
"221060 São Raimundo Nonato";5;-;5
"221100 Teresina";205;62;143
"230190 Barbalha";30;-;30
"230210 Baturité";5;-;5
"230250 Brejo Santo";7;7;-
"230370 Caucaia";14;9;5
"230410 Crateús";10;10;-
"230420 Crato";10;-;10
"230428 Eusébio";12;-;12
"230440 Fortaleza";417;220;197
"230500 Guaraciaba do Norte";5;-;5
"230523 Horizonte";6;-;6
"230540 Icó";10;-;10
"230550 Iguatu";30;10;20
"230640 Itapipoca";17;10;7
"230730 Juazeiro do Norte";35;35;-
"230760 Limoeiro do Norte";10;-;10
"230765 Maracanaú";9;5;4
"230770 Maranguape";10;-;10
"230960 Pacajus";6;-;6
"231050 Pedra Branca";8;-;8
"231140 Quixeramobim";20;20;-
"231160 Redenção";5;-;5
"231230 São Benedito";1;-;1
"231290 Sobral";91;36;55
"231330 Tauá";10;-;10
"231340 Tianguá";24;-;24
"240200 Caicó";18;18;-
"240310 Currais Novos";10;-;10
"240450 Guamaré";5;-;5
"240710 Macaíba";10;10;-
"240800 Mossoró";92;52;40
"240810 Natal";182;35;147
"240325 Parnamirim";17;17;-
"240940 Pau dos Ferros";18;8;10
"241120 Santa Cruz";22;-;22
"241150 Santo Antônio";5;-;5
"241200 São Gonçalo do Amarante";30;-;30
"250370 Cajazeiras";17;11;6
"250400 Campina Grande";56;21;35
"250750 João Pessoa";26;-;26
"251080 Patos";16;16;-
"251210 Pombal";5;5;-
"251370 Santa Rita";52;52;-
"260040 Água Preta";20;-;20
"260110 Araripina";10;-;10
"260120 Arcoverde";8;8;-
"260140 Barreiros";10;-;10
"260290 Cabo de Santo Agostinho";40;40;-
"260410 Caruaru";50;30;20
"260600 Garanhuns";30;-;30
"260620 Goiana";10;-;10
"260790 Jaboatão dos Guararapes";20;10;10
"260890 Limoeiro";10;-;10
"260940 Moreno";20;-;20
"260960 Olinda";24;22;2
"261000 Palmares";30;-;30
"261070 Paulista";28;18;10
"261110 Petrolina";15;5;10
"261160 Recife";842;270;572
"261220 Salgueiro";5;-;5
"261360 São José do Egito";4;-;4
"261390 Serra Talhada";15;5;10
"261410 Sertânia";18;-;18
"270030 Arapiraca";27;17;10
"270230 Coruripe";15;15;-
"270290 Girau do Ponciano";10;-;10
"270430 Maceió";171;115;56
"270450 Maragogi";8;-;8
"270630 Palmeira dos Índios";6;-;6
"270670 Penedo";7;-;7
"270800 Santana do Ipanema";15;-;15
"270860 São Miguel dos Campos";10;7;3
"280030 Aracaju";80;34;46
"280210 Estância";12;10;2
"280350 Lagarto";20;10;10
"290070 Alagoinhas";12;10;2
"290320 Barreiras";20;5;15
"290570 Camaçari";22;16;6
"290750 Catu";10;-;10
"291080 Feira de Santana";20;10;10
"291170 Guanambi";4;-;4
"291360 Ilhéus";44;11;33
"291460 Irecê";5;5;-
"291470 Itaberaba";20;-;20
"291480 Itabuna";13;10;3
"291750 Jacobina";10;-;10
"291800 Jequié";10;-;10
"291840 Juazeiro";10;-;10
"292400 Paulo Afonso";4;-;4
"292530 Porto Seguro";6;-;6
"292600 Remanso";10;-;10
"292660 Ribeira do Pombal";3;-;3
"292740 Salvador";690;96;594
"292870 Santo Antônio de Jesus";10;-;10
"292990 Seabra";5;-;5
"293050 Serrinha";10;-;10
"293135 Teixeira de Freitas";20;5;15
"293330 Vitória da Conquista";50;20;30
"310120 Aiuruoca";5;-;5
"310160 Alfenas";10;-;10
"310170 Almenara";10;-;10
"310340 Araçuaí";6;-;6
"310350 Araguari";10;-;10
"310400 Araxá";52;-;52
"310560 Barbacena";31;-;31
"310620 Belo Horizonte";342;50;292
"310670 Betim";65;-;65
"310740 Bom Despacho";20;-;20
"310860 Brasília de Minas";10;-;10
"310900 Brumadinho";2;-;2
"311120 Campo Belo";10;-;10
"311330 Carangola";6;-;6
"311340 Caratinga";25;-;25
"311530 Cataguases";5;-;5
"311800 Congonhas";10;-;10
"311830 Conselheiro Lafaiete";27;-;27
"311860 Contagem";25;-;25
"311940 Coronel Fabriciano";10;5;5
"312090 Curvelo";20;-;20
"312160 Diamantina";10;-;10
"312230 Divinópolis";60;-;60
"312510 Extrema";10;-;10
"312770 Governador Valadares";30;-;30
"312980 Ibirité";17;-;17
"313130 Ipatinga";30;-;30
"313170 Itabira";10;-;10
"313240 Itajubá";32;-;32
"313310 Itanhandu";5;-;5
"313380 Itaúna";8;-;8
"313510 Janaúba";5;-;5
"313620 João Monlevade";15;-;15
"313670 Juiz de Fora";69;10;59
